number	kind	category	title	labels	updated_at	url
991	issue	issue-feature-request	[Feature]: Add a calendar view	enhancement	2024-06-16T02:20:30Z	https://github.com/obsidian-community/obsidian-kanban/issues/991
990	issue	issue-feature-request	[Feature]: 'sort list by name'	enhancement	2024-06-14T15:34:35Z	https://github.com/obsidian-community/obsidian-kanban/issues/990
988	issue	issue-feature-request	[Feature]: I hope to use tasks calendar wrapper to jump to complete tasks. This will be a great improvement for Kanban task management.	enhancement	2024-06-11T17:21:19Z	https://github.com/obsidian-community/obsidian-kanban/issues/988
987	issue	issue-feature-request	[Feature]: Allow table view to be full width as well.	enhancement	2024-06-10T06:50:37Z	https://github.com/obsidian-community/obsidian-kanban/issues/987
986	issue	issue-bug	[Bug]: Tasks Pane stays open even after card is created	bug	2024-06-10T06:49:07Z	https://github.com/obsidian-community/obsidian-kanban/issues/986
985	issue	issue-data-integrity	[Bug]: Failed to save "file name" automatically. Please save the file to make sure edits are retained	bug	2024-06-23T21:29:37Z	https://github.com/obsidian-community/obsidian-kanban/issues/985
984	issue	issue-bug	[Bug]: When creating a list, toggling "Mark card in this list as complete", did not make a "completed" list.	bug	2024-06-10T00:53:17Z	https://github.com/obsidian-community/obsidian-kanban/issues/984
983	issue	issue-support-or-unclassified	Kanban Tables: Can't find a description		2024-06-08T13:05:45Z	https://github.com/obsidian-community/obsidian-kanban/issues/983
982	issue	issue-feature-request	加一个链接简写	enhancement	2024-06-08T02:50:55Z	https://github.com/obsidian-community/obsidian-kanban/issues/982
981	issue	issue-bug	[Bug]: Random duplication of every cards in Kanban after moving cards	bug	2024-06-07T19:53:51Z	https://github.com/obsidian-community/obsidian-kanban/issues/981
980	issue	issue-feature-request	[Feature]: CalDAV integration	enhancement	2024-06-06T10:42:05Z	https://github.com/obsidian-community/obsidian-kanban/issues/980
979	issue	issue-bug	[Bug]: Kanban V2 with Dataviewjs scripts / Moving files leeds to errors	bug	2024-06-04T11:45:57Z	https://github.com/obsidian-community/obsidian-kanban/issues/979
978	issue	issue-bug	[Bug]: Clicking outline of the Kanban note  in the sidebar   makes note blank 	bug	2024-06-03T15:53:38Z	https://github.com/obsidian-community/obsidian-kanban/issues/978
977	issue	issue-performance	[Feature]: Color Change on date/marker when checkbox is active	enhancement	2024-06-03T07:04:08Z	https://github.com/obsidian-community/obsidian-kanban/issues/977
976	issue	issue-feature-request	[Feature]: make kanban icon in ribbon optional	enhancement	2024-06-05T22:32:03Z	https://github.com/obsidian-community/obsidian-kanban/issues/976
975	issue	issue-feature-request	[Feature]: toggle tag visibility	enhancement	2024-07-30T07:29:41Z	https://github.com/obsidian-community/obsidian-kanban/issues/975
974	issue	issue-performance	[Bug]: Kanban v2 rendering to be very slow when installed together with some other plugins.	bug	2024-05-31T05:51:08Z	https://github.com/obsidian-community/obsidian-kanban/issues/974
970	issue	issue-bug	[Bug]: Previously dragging a non-md file onto board displayed a link to the file name in the card. It now attempts to renders the file	bug	2024-06-06T10:42:52Z	https://github.com/obsidian-community/obsidian-kanban/issues/970
969	issue	issue-feature-request	[Feature]: Add option to use the date format of the Tasks plugin / ensure compatibility with Tasks plugin	enhancement	2025-01-04T18:34:11Z	https://github.com/obsidian-community/obsidian-kanban/issues/969
965	issue	issue-bug	[Bug]: Linked note title not updating / refreshing after templater script runs and adjusted the title.	bug	2024-05-31T03:29:30Z	https://github.com/obsidian-community/obsidian-kanban/issues/965
962	issue	issue-feature-request	[Feature]: Better support for zooming photos	enhancement	2024-05-25T20:04:52Z	https://github.com/obsidian-community/obsidian-kanban/issues/962
960	issue	issue-feature-request	[Feature]: Date & Tag colours for light and dark mode.	enhancement	2024-05-25T09:25:55Z	https://github.com/obsidian-community/obsidian-kanban/issues/960
957	issue	issue-bug	[Bug]: New Note from Card with a tag in the heading breaking the link	bug	2024-05-25T15:28:23Z	https://github.com/obsidian-community/obsidian-kanban/issues/957
948	issue	issue-feature-request	[Feature]: Ability to enable/disable the display of checkboxes for each individual list within a single kanban board	enhancement	2024-05-09T13:01:51Z	https://github.com/obsidian-community/obsidian-kanban/issues/948
947	issue	issue-feature-request	[Feature]: Apply styling to tags and dates from linked notes properties the same way as tags and dates on cards	enhancement	2024-06-06T07:07:45Z	https://github.com/obsidian-community/obsidian-kanban/issues/947
945	issue	issue-bug	[Bug]: Can't drag cards on ChromeOS	bug	2025-07-07T13:47:54Z	https://github.com/obsidian-community/obsidian-kanban/issues/945
944	issue	issue-feature-request	[Feature]: Hope date can be show in different way	enhancement	2024-05-07T05:43:54Z	https://github.com/obsidian-community/obsidian-kanban/issues/944
940	issue	issue-feature-request	[Feature]: Add an option for hide parent tags and '#'	enhancement	2024-05-03T11:25:51Z	https://github.com/obsidian-community/obsidian-kanban/issues/940
929	issue	issue-feature-request	[Feature]: (2.0) Keep view state (mode + collapse) with view, not board	enhancement	2024-05-02T19:00:03Z	https://github.com/obsidian-community/obsidian-kanban/issues/929
926	issue	issue-feature-request	[Feature]: Synchronize with Checklist plugin to pre-populate Kanban	enhancement	2024-04-26T17:01:55Z	https://github.com/obsidian-community/obsidian-kanban/issues/926
925	issue	issue-bug	[Bug]: Can't add new item	bug	2025-09-30T11:03:22Z	https://github.com/obsidian-community/obsidian-kanban/issues/925
921	issue	issue-feature-request	[Feature]: Drag tasks to completed to add to the end of the day's diary	enhancement	2024-04-18T09:18:36Z	https://github.com/obsidian-community/obsidian-kanban/issues/921
918	issue	issue-feature-request	[Feature]: "Open as Kanban" i.e. a way to reverse "Open as Markdown"	enhancement	2024-04-20T06:52:52Z	https://github.com/obsidian-community/obsidian-kanban/issues/918
914	issue	issue-feature-request	[Feature]: [Bug]: Copy Link to Card across multiple Kanban Boards		2024-04-03T14:24:46Z	https://github.com/obsidian-community/obsidian-kanban/issues/914
911	pull-request	pr-unclassified-review	Display task counter in the card title		2025-02-19T13:48:19Z	https://github.com/obsidian-community/obsidian-kanban/pull/911
910	issue	issue-feature-request	[Feature]: Add a "Linked Page Metadata" called [List], and update this Metadata when the card is moved to another "List"	enhancement	2024-03-15T05:39:50Z	https://github.com/obsidian-community/obsidian-kanban/issues/910
909	issue	issue-support-or-unclassified	Is this project dead?		2025-07-30T19:52:32Z	https://github.com/obsidian-community/obsidian-kanban/issues/909
908	issue	issue-settings	[Bug]: Mobile positioning of settings tab is off	bug	2024-08-08T15:12:06Z	https://github.com/obsidian-community/obsidian-kanban/issues/908
907	issue	issue-mobile-i18n	[Bug]: No submission of new ticket possible on mobile when typing a long text in card	bug	2024-08-08T15:57:07Z	https://github.com/obsidian-community/obsidian-kanban/issues/907
906	issue	issue-feature-request	[Feature]: Show Document Title	enhancement	2024-03-06T17:17:24Z	https://github.com/obsidian-community/obsidian-kanban/issues/906
905	issue	issue-bug	[Bug]: Tags are showing twice in same card	bug	2024-05-10T08:47:49Z	https://github.com/obsidian-community/obsidian-kanban/issues/905
904	issue	issue-bug	[Bug]: Date is showing both formatted and in chip	bug	2024-03-06T16:17:21Z	https://github.com/obsidian-community/obsidian-kanban/issues/904
903	issue	issue-bug	[Bug]: Checkboxes (manual and automatic) in Kanban boards not displayed correctly	bug	2024-03-06T08:57:16Z	https://github.com/obsidian-community/obsidian-kanban/issues/903
902	issue	issue-bug	[Bug]: Can't drag and drop cards	bug	2025-08-17T12:56:51Z	https://github.com/obsidian-community/obsidian-kanban/issues/902
901	issue	issue-bug	[Bug]: Enlarging an image in a long list either hides or crops the image	bug	2024-03-05T07:25:15Z	https://github.com/obsidian-community/obsidian-kanban/issues/901
900	issue	issue-feature-request	[Feature]: Also add end time and end date. Just for visual feedback so you know you got 2 hours for a task or meeting	enhancement	2024-12-01T22:40:31Z	https://github.com/obsidian-community/obsidian-kanban/issues/900
899	issue	issue-bug	[Bug]: logo of callouts not displayed in card	bug	2024-02-21T09:33:38Z	https://github.com/obsidian-community/obsidian-kanban/issues/899
898	issue	issue-bug	[Bug]: Kanaban does not works	bug	2024-04-05T01:18:20Z	https://github.com/obsidian-community/obsidian-kanban/issues/898
895	issue	issue-feature-request	Bigger Headings	enhancement	2024-02-16T14:23:29Z	https://github.com/obsidian-community/obsidian-kanban/issues/895
894	issue	issue-feature-request	[Feature]: Add option to sort tasks by tags	enhancement	2024-05-30T03:59:02Z	https://github.com/obsidian-community/obsidian-kanban/issues/894
893	issue	issue-feature-request	[Feature]: When creating a note from card, add an option to move tags from card title to the frontmatter without altering the text	enhancement	2024-02-06T13:42:02Z	https://github.com/obsidian-community/obsidian-kanban/issues/893
892	issue	issue-feature-request	[Feature]: Ability to Hide/Filter Lists from a Board	enhancement	2024-02-06T19:15:52Z	https://github.com/obsidian-community/obsidian-kanban/issues/892
890	issue	issue-feature-request	[Feature]:  Support for Obsidian Publish	enhancement	2025-02-23T14:53:19Z	https://github.com/obsidian-community/obsidian-kanban/issues/890
889	issue	issue-bug	[Bug]: Duplicate tags are displayed in cards	bug	2024-02-14T09:58:38Z	https://github.com/obsidian-community/obsidian-kanban/issues/889
888	pull-request	pr-unclassified-review	Hide a scroll bar appearing on the right of some Kanban items		2024-04-28T23:37:17Z	https://github.com/obsidian-community/obsidian-kanban/pull/888
884	issue	issue-performance	[Bug]: Freeze on Settings Open	bug	2025-02-01T02:23:53Z	https://github.com/obsidian-community/obsidian-kanban/issues/884
883	issue	issue-bug	[Bug]: Grey Lozenge Appears on List and Card Titles When Title is Short	bug	2024-01-20T20:55:16Z	https://github.com/obsidian-community/obsidian-kanban/issues/883
882	issue	issue-feature-request	[Feature]: Add vertical scrolling waterfall layout	enhancement	2024-05-05T05:07:12Z	https://github.com/obsidian-community/obsidian-kanban/issues/882
880	issue	issue-feature-request	[Feature]: Add an auto-checkmark feature to kanban	enhancement	2024-02-06T15:58:52Z	https://github.com/obsidian-community/obsidian-kanban/issues/880
879	issue	issue-bug	[Bug]: New card... dark theme... pale grey text on white background	bug	2024-03-23T02:46:10Z	https://github.com/obsidian-community/obsidian-kanban/issues/879
878	issue	issue-bug	[Bug]:  adding todays date in the task card is reverting it to Jan 1st 2024	bug	2024-03-23T02:44:04Z	https://github.com/obsidian-community/obsidian-kanban/issues/878
877	issue	issue-feature-request	[Feature]: Support Bullets	enhancement	2024-01-05T13:56:06Z	https://github.com/obsidian-community/obsidian-kanban/issues/877
876	issue	issue-bug	[Bug]: checkbox mismatch with strikethrough	bug	2024-01-04T20:55:10Z	https://github.com/obsidian-community/obsidian-kanban/issues/876
874	issue	issue-feature-request	[Feature]: Add Notes on Lists using Properties	enhancement	2025-08-29T11:05:34Z	https://github.com/obsidian-community/obsidian-kanban/issues/874
873	issue	issue-feature-request	[Feature]: More options when create "New note from card"	enhancement	2024-09-19T02:11:02Z	https://github.com/obsidian-community/obsidian-kanban/issues/873
872	issue	issue-data-integrity	[Feature]: Add custom Action to "Archive Card" and "Delete Card" to card(s) in Kanban with linked note	enhancement	2026-03-17T07:27:35Z	https://github.com/obsidian-community/obsidian-kanban/issues/872
871	issue	issue-bug	[Bug]: after submit, time code still appear on the text 	bug	2023-12-22T18:29:18Z	https://github.com/obsidian-community/obsidian-kanban/issues/871
870	issue	issue-bug	[Bug]: Archiving does not honor cancelled and in progress task statuses	bug	2023-12-20T19:45:23Z	https://github.com/obsidian-community/obsidian-kanban/issues/870
868	issue	issue-feature-request	[Feature]: Find in board	enhancement	2024-01-01T18:24:32Z	https://github.com/obsidian-community/obsidian-kanban/issues/868
867	issue	issue-bug	[Bug]: Checkbox linked from an other part of the file is not updated on checked	bug	2023-12-15T21:23:46Z	https://github.com/obsidian-community/obsidian-kanban/issues/867
865	issue	issue-feature-request	[Feature]: Add the note to current folder	enhancement	2026-07-14T06:47:45Z	https://github.com/obsidian-community/obsidian-kanban/issues/865
864	issue	issue-settings	When "display card checkbox" setting is unchecked, also remove "[ ]" from markdown view		2023-12-04T16:57:15Z	https://github.com/obsidian-community/obsidian-kanban/issues/864
863	issue	issue-feature-request	[Feature]: Add tag alias	enhancement	2023-12-04T10:56:54Z	https://github.com/obsidian-community/obsidian-kanban/issues/863
862	issue	issue-feature-request	[Feature]: Custom Background Creation 	enhancement	2023-12-03T20:27:12Z	https://github.com/obsidian-community/obsidian-kanban/issues/862
861	issue	issue-feature-request	[Feature]: create any new card with a leading unique ID/Number	enhancement	2024-03-08T19:56:04Z	https://github.com/obsidian-community/obsidian-kanban/issues/861
860	issue	issue-feature-request	[Feature]: 多级文件夹	enhancement	2023-11-22T07:25:43Z	https://github.com/obsidian-community/obsidian-kanban/issues/860
858	issue	issue-feature-request	[Feature]: Have the ability to show multiple dates ?	enhancement	2025-12-02T20:26:06Z	https://github.com/obsidian-community/obsidian-kanban/issues/858
857	issue	issue-settings	[Feature]: the setting for card height	enhancement	2023-11-16T06:52:38Z	https://github.com/obsidian-community/obsidian-kanban/issues/857
856	issue	issue-feature-request	[Feature]: Open notes to the right when clicking on them in kanban board	enhancement	2023-11-16T06:02:57Z	https://github.com/obsidian-community/obsidian-kanban/issues/856
855	issue	issue-data-integrity	[Bug]: Lost content in daily note which is not displayed in Kanban mode	bug	2023-11-15T03:04:43Z	https://github.com/obsidian-community/obsidian-kanban/issues/855
854	issue	issue-feature-request	[Feature]: Pull and manipulate all cards from multiple boards that are in the equally named column in a separate synthetic Kanban board	enhancement	2023-11-06T21:35:53Z	https://github.com/obsidian-community/obsidian-kanban/issues/854
851	issue	issue-bug	[Bug]: 	bug	2024-11-20T09:10:41Z	https://github.com/obsidian-community/obsidian-kanban/issues/851
